TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	TypeFull	IS_NULLABLE
core_loads	1	CreationDate	date	NO
core_loads	2	ReportingDate	date	NO
core_loads	3	Name	varchar(50)	NO
core_loads	4	LastUpdate	datetime2	NO
core_loads	5	IsVisible	bit	NO
core_loads	6	LoadId	int	NO
core_positions	1	Id	varchar(100)	NO
core_positions	2	LoadId	int	NO
core_positions	3	BookingCenterId	varchar(100)	NO
core_positions	4	LegalAccountNumber	int	NO
core_positions	5	Currency	char(3)	NO
core_positions	6	LocationCountry	char(2)	NO
core_positions	7	InternalReference1	varchar(255)	NO
core_positions	8	InternalReference2	varchar(150)	NO
core_positions	9	InternalReference3	varchar(255)	NO
core_positions	10	InternalReference4	varchar(255)	NO
core_positions	11	InternalReference5	varchar(150)	NO
core_positions	12	DataSource	varchar(100)	NO
core_positions	13	PositionCurrencyBookAmount	decimal(25,4)	NO
core_positions	14	BookAmount	decimal(25,4)	NO
core_positions	15	EncumberedFlag	bit	NO
core_positions	16	EncumberedAmount	decimal(25,4)	NO
core_positions	17	EncumbranceEndDate	date	NO
core_positions	18	Notional	decimal(25,4)	NO
core_positions	19	InternalLendingValue	decimal(25,4)	NO
core_positions	20	PV	decimal(25,4)	NO
core_positions	21	Provision	decimal(25,4)	NO
core_positions	22	Capacity	varchar(20)	NO
core_positions	23	MaturityDate	date	NO
core_positions	24	MaturityType	varchar(20)	NO
core_positions	25	ImpairedFlag	bit	NO
core_positions	26	NonPerformingFlag	bit	NO
core_positions	27	RatingClass	int	NO
core_positions	28	IRBFlag	bit	NO
core_positions	29	RelatedPartyType	varchar(20)	NO
core_positions	30	Subordination	bit	NO
core_positions	31	PriorityClaimLevel	int	NO
core_positions	32	ParticipationLevel	real	NO
core_positions	33	GoodsXBorderFlag	bit	NO
core_positions	34	PledgeLink	varchar(150)	NO
core_positions	35	StartDate	date	NO
core_positions	36	GeneralLedger	varchar(20)	NO
core_positions	37	TradingBookFlag	bit	NO
core_positions	38	NumberOfComponents	int	NO
core_positions	39	LongContractFlag	bit	NO
core_positions	40	NettingSetId	varchar(150)	NO
core_positions	41	NettingAgreementType	varchar(20)	NO
core_positions	42	CounterpartyId	varchar(150)	NO
core_positions	43	CounterpartyPIT	int	YES
core_positions	44	CounterpartyBookingCenterId	varchar(100)	NO
core_positions	45	MarginAgreementId	varchar(100)	NO
core_positions	46	MarginAgreementPIT	int	YES
core_positions	47	ClearingFacilityTypeOf	varchar(20)	NO
core_positions	48	ClearingFacilityId	varchar(100)	NO
core_positions	49	ClearingFacilityPIT	int	YES
core_positions	50	PledgedFlag	bit	NO
core_positions	51	PledgeEndDate	date	NO
core_positions	52	CollateralHolderId	varchar(100)	NO
core_positions	53	CollateralHolderPIT	int	YES
core_positions	54	ContractId	varchar(150)	NO
core_positions	55	PropertyId	varchar(100)	NO
core_positions	56	PropertyPIT	int	YES
core_positions	57	Account	varchar(100)	NO
core_positions	58	DerivativeId	varchar(100)	NO
core_positions	59	DerivativeSwapId	varchar(100)	NO
core_positions	60	SecurityId	varchar(100)	NO
core_positions	61	SecurityPIT	int	YES
core_positions	62	CommodityId	varchar(100)	NO
core_positions	63	CommodityPIT	int	YES
core_positions	64	IRReference	varchar(100)	NO
core_positions	65	IRSpread	real	NO
core_positions	66	InterestRate	real	NO
core_positions	67	IRTypeOf	varchar(20)	NO
core_positions	68	IRNextFixingDate	date	NO
core_positions	69	IRReFixingFrequency	varchar(20)	NO
core_positions	70	IRNextPaymentDate	date	NO
core_positions	71	IRPaymentFrequency	varchar(20)	NO
core_positions	72	IRCompoundingType	varchar(20)	NO
core_positions	73	TypeOf	varchar(20)	NO
core_positions	74	SubType	varchar(20)	NO
core_positions	75	IRDayCount	varchar(20)	NO
core_positions	76	IRSpreadFlag	bit	NO
core_positions	77	GuarantorId	varchar(150)	NO
core_positions	78	GuarantorPIT	int	YES
core_positions	79	IsEdited	bit	NO
core_positions	80	CryptoAssetId	varchar(100)	NO
core_positions	81	CryptoAssetPIT	int	YES
core_positions	82	ReportingDate	date	NO
core_positions	83	CreditFacilityId	varchar(100)	NO
core_positions	84	PortfolioAdjustmentProvisionId	varchar(100)	NO
core_positions	85	PortfolioAdjustmentProvisionPIT	int	YES
list_counterparties	1	Id	varchar(150)	NO
list_counterparties	2	PointInTime	int	NO
list_counterparties	3	CreationDate	date	NO
list_counterparties	4	Name	varchar(100)	NO
list_counterparties	5	LegalName	varchar(100)	NO
list_counterparties	6	LEI	varchar(20)	NO
list_counterparties	7	DomicileCountry	char(2)	NO
list_counterparties	8	DomicileCanton	char(2)	NO
list_counterparties	9	HQDomicile	char(2)	NO
list_counterparties	10	RelatedPartyType	varchar(20)	NO
list_counterparties	11	TypeOf	varchar(20)	NO
list_counterparties	12	EconomicActivityType	varchar(20)	NO
list_counterparties	13	RatingClass	int	NO
list_counterparties	14	ExternalRatingId	varchar(20)	NO
list_counterparties	15	ExternalRatingPIT	int	YES
list_counterparties	16	BookingCenterId	varchar(20)	NO
list_counterparties	17	GroupLEXId	varchar(150)	NO
list_counterparties	18	GroupARISId	varchar(150)	NO
list_counterparties	19	Headcount	int	NO
list_counterparties	20	Turnover	int	NO
list_counterparties	21	BalanceSheet	real	NO
list_counterparties	22	Income1	int	NO
list_counterparties	23	Income2	int	NO
list_counterparties	24	SMEFlag	bit	NO
list_counterparties	25	AdequateSupervisionFlag	bit	NO
list_counterparties	26	RelationshipManagerId	varchar(100)	NO
list_counterparties	27	EstablishedRelationshipFlag	bit	NO
list_counterparties	28	LEXLimitFlag	bit	NO
list_counterparties	29	CreditQuality	char(2)	NO
list_counterparties	30	IncomeCurrency	char(3)	NO
list_counterparties	31	IsEdited	bit	NO
list_counterparties	32	Nationality	char(2)	NO
list_counterparties	33	ReportingDate	date	NO
list_counterparties	34	PD	real	NO
list_counterparties	35	RiskEvaluationDate	date	NO
list_counterparties	36	SIScode	char(5)	NO
list_securities	1	Id	varchar(150)	NO
list_securities	2	PointInTime	int	NO
list_securities	3	CreationDate	date	NO
list_securities	4	Name	varchar(100)	NO
list_securities	5	ISIN	varchar(20)	NO
list_securities	6	BBGTicker	varchar(20)	NO
list_securities	7	FIGI	varchar(20)	NO
list_securities	8	SEDOL	varchar(20)	NO
list_securities	9	Currency	char(3)	NO
list_securities	10	IndexFlag	bit	NO
list_securities	11	MainIndexFlag	bit	NO
list_securities	12	RevaluationFrequency	char(1)	NO
list_securities	13	SNBEligibleFlag	bit	NO
list_securities	14	CMAApproachType	varchar(20)	NO
list_securities	15	CMARiskIndicator	int	NO
list_securities	16	CMASARwFlag	bit	NO
list_securities	17	RatingClass	int	NO
list_securities	18	ExternalRatingId	varchar(20)	NO
list_securities	19	ExternalRatingPIT	int	YES
list_securities	20	MaturityDate	date	NO
list_securities	21	TypeOf	varchar(20)	NO
list_securities	22	SubType	varchar(20)	NO
list_securities	23	InterestRateId	varchar(100)	NO
list_securities	24	IssuerId	varchar(100)	NO
list_securities	25	IssuerPIT	int	YES
list_securities	26	InvestmentGradeFlag	bit	NO
list_securities	27	TimeSeriesId	bigint	NO
list_securities	28	HQLACategory	varchar(20)	NO
list_securities	29	LEXGuaranteedFlag	bit	NO
list_securities	30	ListedType	varchar(20)	NO
list_securities	31	IsEdited	bit	NO
list_securities	32	StartDate	date	NO
list_securities	33	ReportingDate	date	NO
