TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	TypeFull	IS_NULLABLE
list_booking_centers	1	Id	varchar(100)	NO
list_booking_centers	2	CreationDate	date	NO
list_booking_centers	3	Name	varchar(100)	NO
list_booking_centers	4	OfficeType	varchar(20)	NO
list_booking_centers	5	OfficeCountry	char(2)	NO
list_booking_centers	6	OfficeCanton	char(2)	NO
list_booking_centers	7	OwnerId	varchar(100)	NO
list_reporting_entities	1	Id	varchar(100)	NO
list_reporting_entities	2	CreationDate	date	NO
list_reporting_entities	3	Name	varchar(100)	NO
list_reporting_entities	4	SNBCode	varchar(20)	NO
list_reporting_entities	5	FinmaCategory	int	NO
list_reporting_entities	6	ConsoLevelBankOffice	bit	NO
list_reporting_entities	7	ConsoLevelParentCompany	bit	NO
list_reporting_entities	8	ConsoLevelGroup	bit	NO
list_reporting_entities	9	StreetName	varchar(100)	NO
list_reporting_entities	10	StreetNumber	varchar(10)	NO
list_reporting_entities	11	PostBox	varchar(100)	NO
list_reporting_entities	12	ZipCode	varchar(10)	NO
list_reporting_entities	13	City	varchar(100)	NO
list_reporting_entities	14	ContactName	varchar(100)	NO
list_reporting_entities	15	ContactType	varchar(100)	NO
list_reporting_entities	16	ContactPhone	varchar(100)	NO
list_reporting_entities	17	ContactEmail	varchar(100)	NO
list_reporting_entities	18	SubGroupName	varchar(100)	NO
list_reporting_entities	19	DivisionName	varchar(100)	NO
list_reporting_entities	20	ReferredPerson	varchar(100)	NO
list_reporting_entities	21	FxRateId	varchar(100)	YES
list_reporting_entities	22	ReportingCurrency	char(3)	NO
list_reporting_entities	23	FinmaCode	varchar(20)	NO
list_reporting_entities	24	EuContextIdentifier	varchar(100)	NO
list_reporting_entities	25	EuContextIdentifierSchema	varchar(100)	NO
list_reporting_entities	26	EuAccountingFramework	varchar(100)	NO
list_reporting_entities	27	EuReportingLevel	varchar(100)	NO
list_reporting_entities	28	EuDerivativesTreatment	varchar(100)	NO
list_reporting_entities	29	EuInstitutionType	varchar(100)	NO
list_reporting_entities	30	EuInstitutionsCompanyStructure	varchar(100)	NO
list_reporting_sets	1	ReportingEntityId	varchar(100)	NO
list_reporting_sets	2	ConsolidatedBookingCenterId	varchar(100)	NO
list_reporting_sets	3	CreationDate	date	NO
list_reporting_sets	4	OfficeType	varchar(20)	NO
list_reporting_sets	5	OfficeCountry	char(2)	NO
